AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,LATITUDE,LONGITUDE,ELEVATION,ICAO,IATA,FAA,MESONET_STATION
14842,SJT,San Angelo Regional/Mathis Field,"San Angelo, TX",Texas,TX,31.357779,-100.49639,1919,KSJT,SJT,SJT,SJT
11982,GRK,Robert Gray AAF,"Killeen, TX",Texas,TX,31.067223,-97.82889,1015,KGRK,GRK,GRK,GRK
10747,BRO,Brownsville South Padre Island International,"Brownsville, TX",Texas,TX,25.90611,-97.42611,22,KBRO,BRO,BRO,BRO
14960,SPS,Sheppard AFB/Wichita Falls Municipal,"Wichita Falls, TX",Texas,TX,33.988888,-98.49194,1019,KSPS,SPS,SPS,SPS
10728,BPT,Jack Brooks Regional,"Beaumont/Port Arthur, TX",Texas,TX,29.950834,-94.02055,15,KBPT,BPT,BPT,BPT
11049,CLL,Easterwood Field,"College Station/Bryan, TX",Texas,TX,30.588055,-96.3625,320,KCLL,CLL,CLL,CLL
10136,ABI,Abilene Regional,"Abilene, TX",Texas,TX,32.41139,-99.681946,1791,KABI,ABI,ABI,ABI
13061,LRD,Laredo International,"Laredo, TX",Texas,TX,27.544167,-99.46167,508,KLRD,LRD,LRD,LRD
12191,HOU,William P Hobby,"Houston, TX",Texas,TX,29.645834,-95.27722,46,KHOU,HOU,HOU,HOU
12206,HRL,Valley International,"Harlingen/San Benito, TX",Texas,TX,26.227222,-97.65528,36,KHRL,HRL,HRL,HRL
12896,LBB,Lubbock Preston Smith International,"Lubbock, TX",Texas,TX,33.663612,-101.82056,3282,KLBB,LBB,LBB,LBB
11415,DRT,Del Rio International,"Del Rio, TX",Texas,TX,29.374166,-100.92722,1002,KDRT,DRT,DRT,DRT
14683,SAT,San Antonio International,"San Antonio, TX",Texas,TX,29.53389,-98.46917,809,KSAT,SAT,SAT,SAT
10423,AUS,Austin - Bergstrom International,"Austin, TX",Texas,TX,30.194445,-97.67,542,KAUS,AUS,AUS,AUS
11905,GGG,East Texas Regional,"Longview, TX",Texas,TX,32.38389,-94.71139,365,KGGG,GGG,GGG,GGG
13256,MFE,McAllen Miller International,"Mission/McAllen/Edinburg, TX",Texas,TX,26.175833,-98.23861,107,KMFE,MFE,MFE,MFE
11259,DAL,Dallas Love Field,"Dallas, TX",Texas,TX,32.845833,-96.85083,487,KDAL,DAL,DAL,DAL
